path,instrument,note,midi,dynamic,technique,source
demo_flute_48.wav,flute,C3,48,mf,normal,synthetic-demo
demo_flute_52.wav,flute,E3,52,mf,normal,synthetic-demo
demo_flute_56.wav,flute,G#3,56,mf,normal,synthetic-demo
demo_flute_60.wav,flute,C4,60,mf,normal,synthetic-demo
demo_flute_64.wav,flute,E4,64,mf,normal,synthetic-demo
demo_flute_68.wav,flute,G#4,68,mf,normal,synthetic-demo
demo_flute_72.wav,flute,C5,72,mf,normal,synthetic-demo
demo_flute_76.wav,flute,E5,76,mf,normal,synthetic-demo
demo_flute_80.wav,flute,G#5,80,mf,normal,synthetic-demo
demo_flute_84.wav,flute,C6,84,mf,normal,synthetic-demo
demo_clarinet_48.wav,clarinet,C3,48,mf,normal,synthetic-demo
demo_clarinet_52.wav,clarinet,E3,52,mf,normal,synthetic-demo
demo_clarinet_56.wav,clarinet,G#3,56,mf,normal,synthetic-demo
demo_clarinet_60.wav,clarinet,C4,60,mf,normal,synthetic-demo
demo_clarinet_64.wav,clarinet,E4,64,mf,normal,synthetic-demo
demo_clarinet_68.wav,clarinet,G#4,68,mf,normal,synthetic-demo
demo_clarinet_72.wav,clarinet,C5,72,mf,normal,synthetic-demo
demo_clarinet_76.wav,clarinet,E5,76,mf,normal,synthetic-demo
demo_clarinet_80.wav,clarinet,G#5,80,mf,normal,synthetic-demo
demo_clarinet_84.wav,clarinet,C6,84,mf,normal,synthetic-demo
demo_violin_48.wav,violin,C3,48,mf,normal,synthetic-demo
demo_violin_52.wav,violin,E3,52,mf,normal,synthetic-demo
demo_violin_56.wav,violin,G#3,56,mf,normal,synthetic-demo
demo_violin_60.wav,violin,C4,60,mf,normal,synthetic-demo
demo_violin_64.wav,violin,E4,64,mf,normal,synthetic-demo
demo_violin_68.wav,violin,G#4,68,mf,normal,synthetic-demo
demo_violin_72.wav,violin,C5,72,mf,normal,synthetic-demo
demo_violin_76.wav,violin,E5,76,mf,normal,synthetic-demo
demo_violin_80.wav,violin,G#5,80,mf,normal,synthetic-demo
demo_violin_84.wav,violin,C6,84,mf,normal,synthetic-demo
demo_cello_48.wav,cello,C3,48,mf,normal,synthetic-demo
demo_cello_52.wav,cello,E3,52,mf,normal,synthetic-demo
demo_cello_56.wav,cello,G#3,56,mf,normal,synthetic-demo
demo_cello_60.wav,cello,C4,60,mf,normal,synthetic-demo
demo_cello_64.wav,cello,E4,64,mf,normal,synthetic-demo
demo_cello_68.wav,cello,G#4,68,mf,normal,synthetic-demo
demo_cello_72.wav,cello,C5,72,mf,normal,synthetic-demo
demo_cello_76.wav,cello,E5,76,mf,normal,synthetic-demo
demo_cello_80.wav,cello,G#5,80,mf,normal,synthetic-demo
demo_cello_84.wav,cello,C6,84,mf,normal,synthetic-demo
